model,config,run_id,run_name,metric,n,mean,std,min,max,last
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,layer_-1_loss_cls,1848,0.0886613749130125,0.007803905866439633,0.07572820261120797,0.1778772448003292,0.08172815576195717
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,layer_-1_loss_bbox,1848,0.5657053370010995,0.05190183222012258,0.4627692019939423,1.105087674856186,0.5122972214221955
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_feature_camera,1848,0.266112851799502,0.013859090017915581,0.2544024330377579,0.33742108166217805,0.2555375471711159
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_feature_lidar,1848,0.11004909820201529,0.0003103759381254478,0.10901984304189682,0.11107557535171508,0.11012219235301018
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_feature_bev,1848,0.21653148477663212,0.001855641550816454,0.21419723480939865,0.22188456058502198,0.21494250476360321
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_feature_bev,1848,0.21653148477663212,0.001855641550816454,0.21419723480939865,0.22188456058502198,0.21494250476360321
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_rel,1848,1.6410231936623008,0.04886736086714917,1.547153525352478,2.5814317893981933,1.6110659837722778
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_kd_logit,1848,0.3053802112125473,0.03706868692802994,0.25368145167827605,1.120677671432495,0.27222449213266375
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss,1848,6.2913401550596415,0.26560849645915713,5.929519691467285,10.847321395874024,6.103126173019409
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,grad_norm,1813,5.307431844289435,1.0996928675767377,3.6371922874450684,15.662295169830323,6.330168399810791
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_heatmap,1848,0.5422306435371375,0.04045504974259177,0.47408357918262484,0.8895109856128692,0.5376128906011581
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,layer_-1_loss_cls,1848,0.09500848165906772,0.007503259693348212,0.08259824141860009,0.18544183433055877,0.09036439821124077
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,layer_-1_loss_bbox,1848,0.5929514504959444,0.051378870644124136,0.4897256183624268,1.0518563091754913,0.5919846057891845
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_feature_camera,1848,0.257703198288523,0.011314016793611143,0.24927722662687302,0.33933160722255706,0.24982769399881363
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_feature_lidar,1848,0.12519870312295822,0.00032162834255114036,0.12414899498224258,0.12626170575618745,0.12501345023512841
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_feature_bev,1848,0.21933661253147183,0.001103610281623076,0.21773890644311905,0.22328234553337098,0.2185158747434616
